Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Algeria,270532,6879,182169.0,81484.0,5935,151,230861.0,5065.0,45583309
Angola,103131,1917,101155.0,59.0,2938,55,1499795.0,42725.0,35103246
Benin,27490,163,27217.0,110.0,2145,13,604310.0,47146.0,12817934
Botswana,325931,2786,322955.0,190.0,132735,1135,2026898.0,825451.0,2455504
Burkina Faso,21128,387,20632.0,109.0,954,17,248995.0,11238.0,22157351
Burundi,49370,38,48578.0,754.0,3898,3,345742.0,27298.0,12665643
CAR,14883,113,14520.0,250.0,2969,23,81294.0,16215.0,5013470
Cabo Verde,62341,410,61863.0,68.0,109525,720,401622.0,705595.0,569196
Cameroon,121652,1935,118616.0,1101.0,4346,69,1751774.0,62582.0,27991555
Chad,7549,193,4874.0,2482.0,432,11,191341.0,10961.0,17457130
Comoros,8455,161,8281.0,13.0,9290,177,,,910127
Congo,24837,386,24006.0,445.0,4271,66,347815.0,59811.0,5815241
DRC,92751,1422,83504.0,7825.0,971,15,846704.0,8864.0,95519023
Djibouti,15690,189,15427.0,74.0,15391,185,305941.0,300110.0,1019430
Egypt,515645,24613,442182.0,48850.0,4839,231,3693367.0,34661.0,106556887
Equatorial Guinea,16965,183,16648.0,134.0,11281,122,365697.0,243175.0,1503842
Eritrea,10163,103,10051.0,9.0,2781,28,23693.0,6484.0,3653791
Eswatini,73368,1422,71923.0,23.0,61839,1199,1043970.0,879919.0,1186439
Ethiopia,493340,7572,471716.0,14052.0,4071,62,5224893.0,43112.0,121193785
Gabon,48668,306,48235.0,127.0,20793,131,1615102.0,690028.0,2340633
Gambia,12311,371,11940.0,0.0,4799,145,155686.0,60691.0,2565214
Ghana,168616,1459,167123.0,34.0,5189,45,2498516.0,76897.0,32491931
Guinea,37652,449,36880.0,323.0,2706,32,660107.0,47448.0,13912173
Guinea-Bissau,8796,175,8301.0,320.0,4250,85,145231.0,70168.0,2069763
Ivory Coast,86919,822,86081.0,16.0,3126,30,1617729.0,58176.0,27807367
Kenya,338290,5674,332508.0,108.0,6002,101,38667190.0,686044.0,56362546
Lesotho,34287,704,25811.0,7772.0,15732,323,431221.0,197863.0,2179392
Liberia,7898,294,7482.0,122.0,1485,55,139824.0,26294.0,5317753
Libya,506889,6437,500423.0,29.0,71638,910,2480661.0,350589.0,7075686
Madagascar,66640,1410,65196.0,34.0,2278,48,511408.0,17485.0,29248504
Malawi,87933,2679,84928.0,326.0,4351,133,612628.0,30311.0,20211464
Mali,32205,739,30723.0,743.0,1496,34,748692.0,34779.0,21527034
Mauritania,62776,993,61768.0,15.0,12767,202,957706.0,194772.0,4917053
Mauritius,40342,1023,38669.0,650.0,31607,801,358675.0,281009.0,1276382
Morocco,1264648,16276,1248141.0,231.0,33397,430,12504775.0,330224.0,37867544
Mozambique,230171,2221,227850.0,100.0,6939,67,1371127.0,41335.0,33171340
Namibia,169253,4065,164813.0,375.0,64073,1539,1062663.0,402284.0,2641571
Niger,9931,312,8882.0,737.0,380,12,254538.0,9743.0,26124110
Nigeria,264299,3154,257629.0,3516.0,1216,15,5441162.0,25038.0,217317631
Rwanda,132472,1466,130901.0,105.0,9702,107,5777250.0,423097.0,13654663
Sao Tome and Principe,6177,76,6077.0,24.0,27085,333,29036.0,127316.0,228062
Senegal,88172,1968,86086.0,118.0,4979,111,1146543.0,64742.0,17709304
Seychelles,46175,169,45890.0,116.0,463237,1695,,,99679
Sierra Leone,7749,126,,,930,15,259958.0,31200.0,8331871
Somalia,27020,1350,13182.0,12488.0,1602,80,400466.0,23748.0,16863365
South Africa,4014277,102129,3905937.0,6211.0,65868,1676,26168861.0,429389.0,60944399
South Sudan,17823,138,17335.0,350.0,1552,12,410280.0,35736.0,11480793
Sudan,63270,4961,57174.0,1135.0,1373,108,562941.0,12214.0,46089139
Tanzania,39168,845,,,617,13,,,63456864
Togo,38614,284,38169.0,161.0,4437,33,788197.0,90564.0,8703221
Tunisia,1144824,29238,,,94699,2419,4927472.0,407596.0,12089119
Uganda,169396,3628,100431.0,65337.0,3464,74,3012408.0,61601.0,48901765
Zambia,333220,4017,328920.0,283.0,17079,206,3713877.0,190353.0,19510427
Zimbabwe,256870,5596,251085.0,189.0,16749,365,2490740.0,162409.0,15336226
